headline_text,label,tokenized_sents,developed_exists,developing_exists,cat
bush thanks nato support turkey,1,"{'turkey', 'support', 'bush', 'thanks', 'nato'}",0,1,developing
concorde makes emergency landing canada,-1,"{'landing', 'makes', 'emergency', 'canada', 'concorde'}",1,0,developed
downer warns iraq action could begin soon,0,"{'warns', 'downer', 'soon', 'could', 'action', 'iraq', 'begin'}",0,1,developing
france drop merceron gelez face scots,-1,"{'gelez', 'drop', 'merceron', 'scots', 'france', 'face'}",1,0,developed
ganguly leads india victory,0,"{'victory', 'india', 'ganguly', 'leads'}",0,1,developing
howard vows stay pm iraq crisis,-1,"{'vows', 'crisis', 'pm', 'iraq', 'howard', 'stay'}",0,1,developing
hussein says iraq doesnt want war us,1,"{'says', 'us', 'doesnt', 'want', 'war', 'hussein', 'iraq'}",1,1,developed/developing
iran military plane crash kills 302,-1,"{'kills', 'plane', 'crash', 'military', 'iran', '302'}",0,1,developing
iran plane crashes least 250 aboard tv,0,"{'tv', 'least', '250', 'plane', 'crashes', 'iran', 'aboard'}",0,1,developing
iraqi use human shields war crime us,-1,"{'us', 'human', 'iraqi', 'shields', 'war', 'use', 'crime'}",1,0,developed
italy remain unchanged ireland clash,0,"{'unchanged', 'italy', 'remain', 'ireland', 'clash'}",1,0,developed
kirwan sticks winning formula ireland,1,"{'formula', 'ireland', 'sticks', 'winning', 'kirwan'}",1,0,developed
man awaits sentencing denmark murder,-1,"{'man', 'sentencing', 'awaits', 'murder', 'denmark'}",1,0,developed
new zealand discover kenya fate thursday,0,"{'fate', 'discover', 'zealand', 'thursday', 'kenya', 'new'}",0,1,developing
players continue zimbabwe protest,-1,"{'players', 'zimbabwe', 'protest', 'continue'}",0,1,developing
racing club sneak point peru,0,"{'point', 'sneak', 'peru', 'club', 'racing'}",0,1,developing
ruiz hat trick guatemala rout nicaragua,0,"{'rout', 'hat', 'nicaragua', 'trick', 'ruiz', 'guatemala'}",0,1,developing
terror weapons pose minimal risk british expert,-1,"{'minimal', 'weapons', 'terror', 'british', 'expert', 'pose', 'risk'}",1,0,developed
tourism industry must protected iraq,1,"{'must', 'tourism', 'iraq', 'protected', 'industry'}",0,1,developing
turkey stands firm us aid offer,0,"{'turkey', 'firm', 'offer', 'us', 'aid', 'stands'}",1,1,developed/developing
turkey still undecided us aid gulf attack,-1,"{'turkey', 'us', 'attack', 'still', 'aid', 'gulf', 'undecided'}",1,1,developed/developing
us invited talks burmese military junta,0,"{'us', 'invited', 'burmese', 'military', 'talks', 'junta'}",1,0,developed
us launches homeland security ready campaign,1,"{'us', 'campaign', 'homeland', 'launches', 'ready', 'security'}",1,0,developed
us markets remain jittery shadow war,-1,"{'shadow', 'us', 'jittery', 'remain', 'war', 'markets'}",1,0,developed
us tells turkey time running aid offer,0,"{'turkey', 'running', 'us', 'tells', 'time', 'aid', 'offer'}",1,1,developed/developing
us take wto action europe ge,-1,"{'us', 'ge', 'action', 'wto', 'take', 'europe'}",1,0,developed
war iraq could cost 120 billion economists,-1,"{'cost', 'economists', 'billion', 'could', 'war', '120', 'iraq'}",0,1,developing
wa wine destined us,0,"{'wine', 'us', 'destined', 'wa'}",1,0,developed
zimbabwe bars british reporter world cup,0,"{'cup', 'bars', 'zimbabwe', 'world', 'british', 'reporter'}",1,1,developed/developing
aec ruling scrap federal seat hurts us,-1,"{'scrap', 'us', 'hurts', 'federal', 'ruling', 'aec', 'seat'}",1,0,developed
andersson atwal miss record malaysia,0,"{'atwal', 'record', 'miss', 'andersson', 'malaysia'}",0,1,developing
least 26 dead us club fire,-1,"{'least', 'fire', 'us', '26', 'dead', 'club'}",1,0,developed
aust could top four al qaeda target list,1,"{'target', 'al', 'qaeda', 'four', 'list', 'could', 'aust', 'top'}",1,0,developed
australia withdraw bougainville peace monitors,1,"{'peace', 'bougainville', 'australia', 'withdraw', 'monitors'}",1,0,developed
aust share market ends week negative territory,-1,"{'territory', 'market', 'negative', 'share', 'ends', 'aust', 'week'}",1,0,developed
british govt clashes high court asylum,0,"{'court', 'clashes', 'high', 'asylum', 'british', 'govt'}",1,0,developed
british pop awards platform iraq,1,"{'platform', 'british', 'iraq', 'pop', 'awards'}",1,1,developed/developing
briton stabbed death bangkok,-1,"{'bangkok', 'death', 'briton', 'stabbed'}",1,0,developed
china wage chemical war chewing gum blobs,-1,"{'chemical', 'gum', 'wage', 'war', 'chewing', 'china', 'blobs'}",1,0,developed
clinton cancels trip india,-1,"{'trip', 'india', 'cancels', 'clinton'}",0,1,developing
gold coast gets us tourism assurances,1,"{'gold', 'gets', 'tourism', 'us', 'assurances', 'coast'}",1,0,developed
howard repeats zimbabwe boycott call,-1,"{'boycott', 'zimbabwe', 'call', 'howard', 'repeats'}",0,1,developing
iaea visit iran assess nuclear program,0,"{'nuclear', 'assess', 'iran', 'iaea', 'program', 'visit'}",0,1,developing
indonesia says australia travel warnings,-1,"{'indonesia', 'says', 'travel', 'warnings', 'australia'}",1,1,developed/developing
jackson hits back explosive british tv interview,0,"{'tv', 'back', 'explosive', 'jackson', 'british', 'hits', 'interview'}",1,0,developed
kenya awarded points kiwi call,1,"{'awarded', 'call', 'kiwi', 'points', 'kenya'}",0,1,developing
loose cannon afridi set pakistan,-1,"{'loose', 'cannon', 'pakistan', 'set', 'afridi'}",0,1,developing
montgomery enters us indoor nationals,0,"{'montgomery', 'us', 'nationals', 'indoor', 'enters'}",1,0,developed
us troops help hunt abu sayyaf rebels,1,"{'us', 'hunt', 'help', 'abu', 'rebels', 'troops', 'sayyaf'}",1,0,developed
nauru appeals help keep nations airline,1,"{'airline', 'appeals', 'nations', 'help', 'nauru', 'keep'}",0,1,developing
new battle britain looming uefa cup,-1,"{'cup', 'britain', 'battle', 'uefa', 'looming', 'new'}",1,0,developed
pm choice stay iraq,0,"{'iraq', 'choice', 'stay', 'pm'}",0,1,developing
second us nightclub fire kills 10,-1,"{'kills', '10', 'fire', 'us', 'second', 'nightclub'}",1,0,developed
turkey delays vote us troops,0,"{'turkey', 'delays', 'us', 'vote', 'troops'}",1,1,developed/developing
turkey digs heels us lobbies support,1,"{'lobbies', 'turkey', 'support', 'us', 'heels', 'digs'}",1,1,developed/developing
turkey forces us weigh strategies,0,"{'turkey', 'us', 'weigh', 'forces', 'strategies'}",1,1,developed/developing
us asks indonesia improve human rights record,1,"{'record', 'indonesia', 'us', 'human', 'rights', 'improve', 'asks'}",1,1,developed/developing
us boost troop numbers philippines,1,"{'boost', 'us', 'troop', 'numbers', 'philippines'}",1,1,developed/developing
us chiropractor address gold coast gathering,0,"{'gold', 'gathering', 'chiropractor', 'us', 'address', 'coast'}",1,0,developed
us intelligence analyst found guilty spying,0,"{'found', 'us', 'analyst', 'guilty', 'spying', 'intelligence'}",1,0,developed
wine avocados drive mutton wool nz,0,"{'drive', 'avocados', 'wool', 'nz', 'wine', 'mutton'}",1,0,developed
86 confirmed dead us nightclub fire,-1,"{'fire', 'us', 'nightclub', 'dead', 'confirmed', '86'}",1,0,developed
al qaeda members jailed us uk terrorist plots,-1,"{'members', 'al', 'uk', 'us', 'jailed', 'terrorist', 'plots', 'qaeda'}",1,0,developed
australia urged abandon zimbabwe world cup match,-1,"{'urged', 'cup', 'match', 'zimbabwe', 'australia', 'abandon', 'world'}",1,1,developed/developing
captain refuses ship wheat iraq,0,"{'wheat', 'refuses', 'captain', 'ship', 'iraq'}",0,1,developing
coria stuns nalbandian reach argentina semis,0,"{'reach', 'semis', 'nalbandian', 'argentina', 'stuns', 'coria'}",0,1,developing
death toll rises 39 us club blaze,-1,"{'death', 'us', 'rises', '39', 'club', 'blaze', 'toll'}",1,0,developed
deputy says iraq ready dialogue us,1,"{'says', 'dialogue', 'us', 'iraq', 'ready', 'deputy'}",1,1,developed/developing
donald left bangladesh clash,0,"{'left', 'bangladesh', 'donald', 'clash'}",0,1,developing
french african leaders support iraq inspections,1,"{'inspections', 'support', 'african', 'french', 'iraq', 'leaders'}",0,1,developing
gurkhas discrimination case fails uk court,-1,"{'court', 'uk', 'case', 'discrimination', 'fails', 'gurkhas'}",1,0,developed
hussain giles recalled pakistan clash,0,"{'hussain', 'pakistan', 'recalled', 'giles', 'clash'}",0,1,developing
iaea begins iran nuclear assessment,0,"{'nuclear', 'begins', 'iran', 'iaea', 'assessment'}",0,1,developing
japan backs us campaign fresh iraq vote,1,"{'us', 'japan', 'campaign', 'vote', 'backs', 'iraq', 'fresh'}",1,1,developed/developing
ntini stars bangladesh felled 108,0,"{'felled', 'bangladesh', 'stars', 'ntini', '108'}",0,1,developing
nz cricket investigate durban nightclub brawl,0,"{'durban', 'brawl', 'nightclub', 'nz', 'investigate', 'cricket'}",1,0,developed
one killed us fuel barge explodes,-1,"{'explodes', 'fuel', 'us', 'one', 'killed', 'barge'}",1,0,developed
pair missing us fuel barge explodes,-1,"{'explodes', 'fuel', 'us', 'pair', 'missing', 'barge'}",1,0,developed
powell leaves japan talks china,0,"{'japan', 'leaves', 'powell', 'talks', 'china'}",1,0,developed
proteas demolish bangladesh,0,"{'proteas', 'bangladesh', 'demolish'}",0,1,developing
qld takes gong aust tourism awards,1,"{'qld', 'gong', 'tourism', 'takes', 'aust', 'awards'}",1,0,developed
roddick heads us semis memphis,0,"{'heads', 'memphis', 'semis', 'us', 'roddick'}",1,0,developed
searchers fear 18 dead china ferry sinks,-1,"{'ferry', '18', 'searchers', 'sinks', 'dead', 'fear', 'china'}",1,0,developed
toll rises us club fire,-1,"{'fire', 'us', 'rises', 'club', 'toll'}",1,0,developed
turkey poised iraq deal us,1,"{'turkey', 'poised', 'deal', 'us', 'iraq'}",1,1,developed/developing
uk warns final phase iraq stand,0,"{'phase', 'uk', 'warns', 'final', 'iraq', 'stand'}",1,1,developed/developing
us authorities confirm 95 killed club fire,-1,"{'95', 'fire', 'us', 'killed', 'confirm', 'club', 'authorities'}",1,0,developed
us duo ensures american semi finals,0,"{'us', 'finals', 'american', 'ensures', 'semi', 'duo'}",1,0,developed
us nightclub fire death toll hits 39,-1,"{'death', 'fire', 'us', 'nightclub', '39', 'hits', 'toll'}",1,0,developed
us prosecutors win slave labour case samoa,1,"{'case', 'samoa', 'us', 'labour', 'slave', 'win', 'prosecutors'}",1,1,developed/developing
us stocks rise following positive iraqi comments,1,"{'us', 'comments', 'following', 'stocks', 'iraqi', 'rise', 'positive'}",1,0,developed
aussies arrive zimbabwe,0,"{'arrive', 'zimbabwe', 'aussies'}",0,1,developing
barca deportivo real shine spain,0,"{'barca', 'real', 'spain', 'shine', 'deportivo'}",1,0,developed
blair puts case iraq pope,0,"{'blair', 'case', 'pope', 'iraq', 'puts'}",0,1,developing
britain rally support new un resolution,1,"{'rally', 'support', 'resolution', 'un', 'new', 'britain'}",1,0,developed
deadly fire us rock club whos fault,-1,"{'deadly', 'fire', 'us', 'rock', 'fault', 'club', 'whos'}",1,0,developed
downer expects un back new iraq edict,0,"{'back', 'expects', 'edict', 'downer', 'iraq', 'new', 'un'}",0,1,developing
downer pushes urgent us talks north korea,1,"{'urgent', 'north', 'pushes', 'korea', 'us', 'downer', 'talks'}",1,0,developed
end protest face axe zimbabwe players told,-1,"{'told', 'players', 'zimbabwe', 'axe', 'protest', 'end', 'face'}",0,1,developing
england punishes disappointing pakistan,-1,"{'pakistan', 'disappointing', 'england', 'punishes'}",0,1,developing
flower may play australia report,1,"{'flower', 'may', 'report', 'australia', 'play'}",1,0,developed
forensic teams struggle identify us club fire,-1,"{'forensic', 'fire', 'us', 'teams', 'club', 'struggle', 'identify'}",1,0,developed
natasha spat wont destroy us dems,1,"{'us', 'spat', 'dems', 'wont', 'destroy', 'natasha'}",1,0,developed
odriscoll captures record ireland downs italy,0,"{'record', 'captures', 'italy', 'ireland', 'downs', 'odriscoll'}",1,0,developed
african weapons inspectors iraq,-1,"{'iraq', 'weapons', 'african', 'inspectors'}",0,1,developing
tight security greet cricketers zimbabwe,1,"{'zimbabwe', 'tight', 'greet', 'cricketers', 'security'}",0,1,developing
turkey signals go ahead us troops,0,"{'ahead', 'turkey', 'us', 'troops', 'signals', 'go'}",1,1,developed/developing
un vote iraq soon march 7 powell,0,"{'7', 'soon', 'vote', 'powell', 'iraq', 'march', 'un'}",0,1,developing
us spain draft second un resolution,0,"{'draft', 'resolution', 'spain', 'us', 'second', 'un'}",1,0,developed
us put new resolution un,0,"{'resolution', 'us', 'un', 'put', 'new'}",1,0,developed
weapons experts denounce us intelligence iraq,-1,"{'experts', 'weapons', 'us', 'denounce', 'iraq', 'intelligence'}",1,1,developed/developing
yemen chopper crash kills eight troops,-1,"{'kills', 'eight', 'crash', 'chopper', 'troops', 'yemen'}",0,1,developing
94 dead china earthquake,-1,"{'china', 'dead', 'earthquake', '94'}",1,0,developed
britain concerned reports iraqi missiles,0,"{'concerned', 'reports', 'missiles', 'iraqi', 'britain'}",1,0,developed
deployment troops iraq cost much opp,0,"{'cost', 'much', 'iraq', 'opp', 'troops', 'deployment'}",0,1,developing
downer says un must help post war iraq,-1,"{'says', 'downer', 'help', 'iraq', 'war', 'must', 'post', 'un'}",0,1,developing
earthquake death toll rises 242 china,-1,"{'death', '242', 'rises', 'earthquake', 'china', 'toll'}",1,0,developed
earthquake kills 158 china,-1,"{'kills', '158', 'china', 'earthquake'}",1,0,developed
earthquake rocks china 50 dead,-1,"{'rocks', 'dead', 'earthquake', '50', 'china'}",1,0,developed
earthquake shakes north west china,0,"{'north', 'west', 'earthquake', 'shakes', 'china'}",1,0,developed
ecstasy abuse singapore drops sharply,0,"{'ecstasy', 'singapore', 'abuse', 'drops', 'sharply'}",1,0,developed
france continues opposition new resolution,0,"{'opposition', 'resolution', 'france', 'new', 'continues'}",1,0,developed
france remains opposed new un resolution,0,"{'resolution', 'remains', 'un', 'france', 'opposed', 'new'}",1,0,developed
france sinks scotland,0,"{'scotland', 'france', 'sinks'}",1,0,developed
inspectors iran find uranium enriching,0,"{'uranium', 'inspectors', 'iran', 'enriching', 'find'}",0,1,developing
iraq commitment impact health budget says,1,"{'says', 'impact', 'health', 'budget', 'iraq', 'commitment'}",0,1,developing
methanex aust considers worker housing,0,"{'considers', 'aust', 'housing', 'methanex', 'worker'}",1,0,developed
non aligned leaders say war iraq,-1,"{'say', 'non', 'war', 'aligned', 'iraq', 'leaders'}",0,1,developing
powell begins talks china,0,"{'begins', 'china', 'powell', 'talks'}",1,0,developed
powell says iraq must disarmed one way,0,"{'must', 'says', 'way', 'powell', 'iraq', 'disarmed', 'one'}",0,1,developing
security tight ahead australia zimbabwe match,1,"{'ahead', 'match', 'zimbabwe', 'australia', 'tight', 'security'}",1,1,developed/developing
seven killed avalanches tajikistan,-1,"{'seven', 'killed', 'tajikistan', 'avalanches'}",0,1,developing
sudan allows uganda troops pursue rebels,-1,"{'uganda', 'allows', 'sudan', 'rebels', 'pursue', 'troops'}",0,1,developing
sudanese muslim teacher deported fiji,0,"{'fiji', 'sudanese', 'deported', 'teacher', 'muslim'}",0,1,developing
humble british inn threat,-1,"{'threat', 'inn', 'british', 'humble'}",1,0,developed
vaughan doubtful india game,-1,"{'vaughan', 'game', 'india', 'doubtful'}",0,1,developing
hit rock bottom pakistan coach,0,"{'hit', 'bottom', 'rock', 'coach', 'pakistan'}",0,1,developing
wheat board confident future iraq trade,1,"{'trade', 'wheat', 'future', 'iraq', 'confident', 'board'}",0,1,developing
zimbabwe hoping cause upset,0,"{'cause', 'hoping', 'upset', 'zimbabwe'}",0,1,developing
air nz staff walk job,0,"{'job', 'walk', 'air', 'nz', 'staff'}",1,0,developed
aust help us uk lobby security council downer,1,"{'uk', 'us', 'downer', 'council', 'help', 'aust', 'lobby', 'security'}",1,0,developed
belgium still hoping spa f1 race year,1,"{'race', 'hoping', 'belgium', 'still', 'spa', 'year', 'f1'}",1,0,developed
bevan likely move namibia,0,"{'namibia', 'move', 'bevan', 'likely'}",0,1,developing
blast rocks university cafeteria china,0,"{'rocks', 'blast', 'cafeteria', 'china', 'university'}",1,0,developed
china dismisses latest draft resolution iraq,0,"{'draft', 'resolution', 'dismisses', 'latest', 'iraq', 'china'}",1,1,developed/developing
death toll china quake rises,-1,"{'death', 'quake', 'rises', 'china', 'toll'}",1,0,developed
former ambassador urges us speak north korea,0,"{'north', 'korea', 'speak', 'us', 'former', 'ambassador', 'urges'}",1,0,developed
four us soldiers killed helicopter crash,-1,"{'helicopter', 'us', 'four', 'crash', 'soldiers', 'killed'}",1,0,developed
howard praises new resolution iraq,1,"{'resolution', 'new', 'iraq', 'howard', 'praises'}",0,1,developing
bangladesh play tests kenya coach,1,"{'tests', 'coach', 'bangladesh', 'kenya', 'play'}",0,1,developing
iraq invites delegation confirm un cooperation,0,"{'delegation', 'invites', 'cooperation', 'confirm', 'iraq', 'un'}",0,1,developing
150 face trail vietnam,0,"{'face', 'vietnam', 'trail', '150'}",0,1,developing
mugabe criticises us british big brothers,-1,"{'criticises', 'us', 'big', 'brothers', 'mugabe', 'british'}",1,0,developed
n korea fires missile sea japan,0,"{'korea', 'japan', 'sea', 'fires', 'missile', 'n'}",1,0,developed
nz says peace monitors leave png,1,"{'peace', 'says', 'leave', 'monitors', 'nz', 'png'}",1,0,developed
pm backs new resolution iraq,0,"{'resolution', 'backs', 'pm', 'iraq', 'new'}",0,1,developing
security council ends private debate iraq,1,"{'private', 'council', 'ends', 'debate', 'iraq', 'security'}",0,1,developing
un outlive iraq crisis diplomat,-1,"{'outlive', 'diplomat', 'iraq', 'un', 'crisis'}",0,1,developing
us carrier arrives gulf,0,"{'arrives', 'us', 'gulf', 'carrier'}",1,0,developed
us saddam time,0,"{'us', 'saddam', 'time'}",1,0,developed
us vice president see rail work first hand,1,"{'first', 'work', 'president', 'us', 'rail', 'vice', 'hand', 'see'}",1,0,developed
western countries remain divided war iraq,-1,"{'western', 'remain', 'war', 'countries', 'iraq', 'divided'}",0,1,developing
youhana lifts pakistan 9 253,0,"{'253', 'lifts', 'pakistan', '9', 'youhana'}",0,1,developing
akram claims 500 pakistan downs dutch,0,"{'claims', '500', 'dutch', 'akram', 'pakistan', 'downs'}",0,1,developing
aust airlines looks asian market,0,"{'market', 'airlines', 'looks', 'asian', 'aust'}",1,0,developed
australia marks 30 years diplomacy vietnam,0,"{'years', '30', 'australia', 'vietnam', 'marks', 'diplomacy'}",1,1,developed/developing
australia targeting england win india,1,"{'australia', 'targeting', 'england', 'india', 'win'}",1,1,developed/developing
brazil star admits world cup fluke,1,"{'cup', 'admits', 'star', 'world', 'brazil', 'fluke'}",0,1,developing
butler predicts imminent action iraq,0,"{'imminent', 'predicts', 'action', 'butler', 'iraq'}",0,1,developing
china denies providing north korea missile,-1,"{'north', 'korea', 'denies', 'providing', 'china', 'missile'}",1,0,developed
china quake aftershocks take death toll 266,-1,"{'death', 'aftershocks', '266', 'quake', 'china', 'toll', 'take'}",1,0,developed
conman foster plans return uk soon court hears,0,"{'plans', 'return', 'court', 'uk', 'soon', 'foster', 'hears', 'conman'}",1,0,developed
consultants question value free trade us,1,"{'free', 'trade', 'value', 'consultants', 'question', 'us'}",1,0,developed
downer calls china mediate north korea crisis,-1,"{'north', 'korea', 'downer', 'mediate', 'calls', 'china', 'crisis'}",1,0,developed
dutch captain writes england india pakistan,0,"{'dutch', 'captain', 'england', 'pakistan', 'writes', 'india'}",0,1,developing
former champion chela beaten mexico,1,"{'beaten', 'mexico', 'former', 'chela', 'champion'}",0,1,developing
fuel prices almost doubled zimbabwe,0,"{'prices', 'almost', 'fuel', 'zimbabwe', 'doubled'}",0,1,developing
gulf watcher warns aust ships little defence,0,"{'warns', 'ships', 'little', 'defence', 'aust', 'gulf', 'watcher'}",1,0,developed
gunman kills four wounds one us,-1,"{'kills', 'us', 'four', 'wounds', 'gunman', 'one'}",1,0,developed
holy films craze italy,0,"{'holy', 'films', 'italy', 'craze'}",1,0,developed
kefu confirms japan move,0,"{'move', 'confirms', 'kefu', 'japan'}",1,0,developed
kuerten saves three match points mexico win,1,"{'three', 'match', 'saves', 'mexico', 'points', 'win', 'kuerten'}",0,1,developing
mahathir suggests muslim oil strike stop iraq,-1,"{'stop', 'mahathir', 'iraq', 'strike', 'oil', 'suggests', 'muslim'}",0,1,developing
marsh backs australia cup,0,"{'australia', 'marsh', 'backs', 'cup'}",1,0,developed
montgomery compete us championships,1,"{'championships', 'us', 'compete', 'montgomery'}",1,0,developed
oil pushes higher us craves heating oil,0,"{'heating', 'pushes', 'craves', 'us', 'higher', 'oil'}",1,0,developed
riot police clash squatters argentina,-1,"{'squatters', 'argentina', 'riot', 'police', 'clash'}",0,1,developing
saudis agree host us planes iraq war,-1,"{'saudis', 'agree', 'us', 'planes', 'war', 'iraq', 'host'}",1,1,developed/developing
uk media worlds savage publicist,-1,"{'savage', 'worlds', 'uk', 'media', 'publicist'}",1,0,developed
uk parliament due debate iraq action,0,"{'uk', 'debate', 'due', 'iraq', 'action', 'parliament'}",1,1,developed/developing
un missile edict iraq makes difference us,-1,"{'makes', 'edict', 'us', 'missile', 'iraq', 'un', 'difference'}",1,1,developed/developing
us acknowledges pakistani cooperation al qaeda,0,"{'acknowledges', 'pakistani', 'al', 'us', 'cooperation', 'qaeda'}",1,0,developed
us consumer confidence lowest 10 years,0,"{'10', 'lowest', 'us', 'years', 'confidence', 'consumer'}",1,0,developed
us resumes food aid north korea,0,"{'north', 'korea', 'us', 'food', 'resumes', 'aid'}",1,0,developed
us uk bomb missile site iraq,-1,"{'site', 'uk', 'us', 'iraq', 'bomb', 'missile'}",1,1,developed/developing
actors continue crusade iraq action,0,"{'actors', 'continue', 'iraq', 'action', 'crusade'}",0,1,developing
air patrols hit two communications sites iraq,0,"{'communications', 'two', 'hit', 'sites', 'patrols', 'air', 'iraq'}",0,1,developing
aust cannot afford missile defence crean,0,"{'crean', 'can', 'defence', 'not', 'aust', 'afford', 'missile'}",1,0,developed
aust govt embarrassed guantanamo bay terry hicks,-1,"{'terry', 'guantanamo', 'embarrassed', 'bay', 'aust', 'hicks', 'govt'}",1,0,developed
aust post works resolve mail woes,0,"{'mail', 'resolve', 'woes', 'aust', 'works', 'post'}",1,0,developed
aust transport infrastructure suffering report,-1,"{'report', 'aust', 'transport', 'suffering', 'infrastructure'}",1,0,developed
black caps crush bangladesh,0,"{'caps', 'black', 'bangladesh', 'crush'}",0,1,developing
black hawk crashes colombia 23 dead,-1,"{'colombia', 'crashes', 'dead', '23', 'black', 'hawk'}",0,1,developing
blair facing party revolt iraq stance,1,"{'blair', 'facing', 'party', 'revolt', 'stance', 'iraq'}",0,1,developing
china russia unite peaceful iraq solution,1,"{'solution', 'unite', 'russia', 'peaceful', 'iraq', 'china'}",1,1,developed/developing
greene gone rest us best seek world berths,1,"{'seek', 'us', 'world', 'gone', 'best', 'berths', 'greene', 'rest'}",1,0,developed
japan warns nuclear reaction,0,"{'reaction', 'japan', 'nuclear', 'warns'}",1,0,developed
missiles missile shield downer tells china,-1,"{'missiles', 'tells', 'downer', 'shield', 'china', 'missile'}",1,0,developed
pakistan says confident ganguly,1,"{'confident', 'pakistan', 'ganguly', 'says'}",0,1,developing
separatists deny bombing philippines powerlines,-1,"{'separatists', 'bombing', 'deny', 'powerlines', 'philippines'}",0,1,developing
son star wars costly phantom menace nz,-1,"{'wars', 'costly', 'star', 'phantom', 'nz', 'menace', 'son'}",1,0,developed
tonga bans newspaper subversive,-1,"{'subversive', 'bans', 'newspaper', 'tonga'}",0,1,developing
turkey closes border iraq evacuates embassy,0,"{'embassy', 'turkey', 'closes', 'evacuates', 'iraq', 'border'}",0,1,developing
turkey evacuates embassy baghdad,0,"{'evacuates', 'turkey', 'embassy', 'baghdad'}",0,1,developing
turkey ready stamp troops deal us,1,"{'turkey', 'deal', 'us', 'stamp', 'ready', 'troops'}",1,1,developed/developing
uk govt divided iraq war position,-1,"{'position', 'uk', 'war', 'iraq', 'divided', 'govt'}",1,1,developed/developing
us farmers eye australia iraq wheat contract,0,"{'us', 'wheat', 'australia', 'eye', 'iraq', 'contract', 'farmers'}",1,1,developed/developing
us desire govern iraq special envoy,1,"{'govern', 'desire', 'us', 'special', 'envoy', 'iraq'}",1,1,developed/developing
us moves ease iraq opposition fears,0,"{'ease', 'opposition', 'us', 'fears', 'iraq', 'moves'}",1,1,developed/developing
us nursing home patient questioned fatal fire,-1,"{'fire', 'us', 'fatal', 'patient', 'questioned', 'home', 'nursing'}",1,0,developed
yemen arrests armed man us run hospital,-1,"{'armed', 'run', 'man', 'us', 'hospital', 'arrests', 'yemen'}",1,1,developed/developing
aussie bowlers blew us away namibian coach,0,"{'us', 'coach', 'namibian', 'aussie', 'bowlers', 'blew', 'away'}",1,0,developed
aust closer ever war howard,-1,"{'closer', 'ever', 'war', 'aust', 'howard'}",1,0,developed
blair tells iraq time games,0,"{'blair', 'tells', 'time', 'games', 'iraq'}",0,1,developing
coalition planes bomb iraq fly zones,-1,"{'coalition', 'fly', 'planes', 'zones', 'iraq', 'bomb'}",0,1,developing
councillors protest iraq motion,-1,"{'iraq', 'protest', 'motion', 'councillors'}",0,1,developing
dali graphics drenched uk gallery flooding,0,"{'drenched', 'uk', 'gallery', 'graphics', 'flooding', 'dali'}",1,0,developed
disaster strikes team nz,-1,"{'nz', 'disaster', 'strikes', 'team'}",1,0,developed
guards gunned us mission pakistan,0,"{'gunned', 'mission', 'us', 'guards', 'pakistan'}",1,1,developed/developing
