headline_text,tokenized_sents,developed_exists,developing_exists,cat,label
montgomery enters us indoor nationals,"{'nationals', 'montgomery', 'enters', 'us', 'indoor'}",1,0,developed,1
us troops help hunt abu sayyaf rebels,"{'abu', 'us', 'rebels', 'help', 'sayyaf', 'troops', 'hunt'}",1,0,developed,2
nauru appeals help keep nations airline,"{'nations', 'keep', 'airline', 'appeals', 'nauru', 'help'}",0,1,developing,2
new battle britain looming uefa cup,"{'looming', 'battle', 'new', 'britain', 'cup', 'uefa'}",1,0,developed,0
pm choice stay iraq,"{'pm', 'stay', 'choice', 'iraq'}",0,1,developing,1
second us nightclub fire kills 10,"{'fire', 'kills', '10', 'second', 'us', 'nightclub'}",1,0,developed,0
turkey delays vote us troops,"{'turkey', 'delays', 'vote', 'us', 'troops'}",1,1,developed/developing,1
turkey digs heels us lobbies support,"{'turkey', 'support', 'lobbies', 'us', 'digs', 'heels'}",1,1,developed/developing,2
turkey forces us weigh strategies,"{'turkey', 'weigh', 'strategies', 'us', 'forces'}",1,1,developed/developing,1
us asks indonesia improve human rights record,"{'indonesia', 'rights', 'asks', 'improve', 'record', 'human', 'us'}",1,1,developed/developing,2
us boost troop numbers philippines,"{'boost', 'troop', 'philippines', 'us', 'numbers'}",1,1,developed/developing,2
us chiropractor address gold coast gathering,"{'gathering', 'chiropractor', 'gold', 'us', 'coast', 'address'}",1,0,developed,1
us intelligence analyst found guilty spying,"{'analyst', 'intelligence', 'guilty', 'found', 'spying', 'us'}",1,0,developed,1
wine avocados drive mutton wool nz,"{'mutton', 'wool', 'wine', 'drive', 'avocados', 'nz'}",1,0,developed,1
86 confirmed dead us nightclub fire,"{'fire', 'dead', 'us', 'confirmed', '86', 'nightclub'}",1,0,developed,0
al qaeda members jailed us uk terrorist plots,"{'qaeda', 'jailed', 'al', 'plots', 'us', 'members', 'uk', 'terrorist'}",1,0,developed,0
australia urged abandon zimbabwe world cup match,"{'urged', 'world', 'australia', 'cup', 'abandon', 'match', 'zimbabwe'}",1,1,developed/developing,0
captain refuses ship wheat iraq,"{'wheat', 'captain', 'ship', 'iraq', 'refuses'}",0,1,developing,1
coria stuns nalbandian reach argentina semis,"{'nalbandian', 'argentina', 'stuns', 'reach', 'coria', 'semis'}",0,1,developing,1
death toll rises 39 us club blaze,"{'club', 'blaze', 'toll', 'rises', 'us', '39', 'death'}",1,0,developed,0
deputy says iraq ready dialogue us,"{'ready', 'deputy', 'says', 'iraq', 'us', 'dialogue'}",1,1,developed/developing,2
donald left bangladesh clash,"{'clash', 'left', 'bangladesh', 'donald'}",0,1,developing,1
french african leaders support iraq inspections,"{'inspections', 'support', 'african', 'iraq', 'leaders', 'french'}",0,1,developing,2
gurkhas discrimination case fails uk court,"{'court', 'gurkhas', 'fails', 'uk', 'discrimination', 'case'}",1,0,developed,0
hussain giles recalled pakistan clash,"{'pakistan', 'clash', 'giles', 'hussain', 'recalled'}",0,1,developing,1
iaea begins iran nuclear assessment,"{'begins', 'iran', 'nuclear', 'assessment', 'iaea'}",0,1,developing,1
japan backs us campaign fresh iraq vote,"{'japan', 'campaign', 'iraq', 'backs', 'fresh', 'us', 'vote'}",1,1,developed/developing,2
ntini stars bangladesh felled 108,"{'bangladesh', '108', 'ntini', 'felled', 'stars'}",0,1,developing,1
nz cricket investigate durban nightclub brawl,"{'durban', 'investigate', 'nz', 'cricket', 'brawl', 'nightclub'}",1,0,developed,1
one killed us fuel barge explodes,"{'explodes', 'killed', 'fuel', 'one', 'barge', 'us'}",1,0,developed,0
pair missing us fuel barge explodes,"{'explodes', 'fuel', 'barge', 'missing', 'us', 'pair'}",1,0,developed,0
powell leaves japan talks china,"{'powell', 'japan', 'talks', 'china', 'leaves'}",1,0,developed,1
proteas demolish bangladesh,"{'bangladesh', 'proteas', 'demolish'}",0,1,developing,1
qld takes gong aust tourism awards,"{'aust', 'qld', 'tourism', 'awards', 'takes', 'gong'}",1,0,developed,2
roddick heads us semis memphis,"{'memphis', 'roddick', 'us', 'heads', 'semis'}",1,0,developed,1
searchers fear 18 dead china ferry sinks,"{'ferry', 'china', 'dead', 'fear', 'sinks', '18', 'searchers'}",1,0,developed,0
toll rises us club fire,"{'club', 'toll', 'fire', 'rises', 'us'}",1,0,developed,0
turkey poised iraq deal us,"{'turkey', 'iraq', 'us', 'deal', 'poised'}",1,1,developed/developing,2
uk warns final phase iraq stand,"{'phase', 'warns', 'iraq', 'uk', 'stand', 'final'}",1,1,developed/developing,1
us authorities confirm 95 killed club fire,"{'club', '95', 'killed', 'authorities', 'fire', 'us', 'confirm'}",1,0,developed,0
us duo ensures american semi finals,"{'semi', 'american', 'ensures', 'duo', 'us', 'finals'}",1,0,developed,1
us nightclub fire death toll hits 39,"{'toll', 'fire', 'us', 'hits', '39', 'death', 'nightclub'}",1,0,developed,0
us prosecutors win slave labour case samoa,"{'slave', 'samoa', 'labour', 'win', 'us', 'prosecutors', 'case'}",1,1,developed/developing,1
us stocks rise following positive iraqi comments,"{'rise', 'iraqi', 'stocks', 'positive', 'us', 'following', 'comments'}",1,0,developed,2
aussies arrive zimbabwe,"{'aussies', 'arrive', 'zimbabwe'}",0,1,developing,1
barca deportivo real shine spain,"{'shine', 'real', 'deportivo', 'spain', 'barca'}",1,0,developed,1
blair puts case iraq pope,"{'iraq', 'blair', 'puts', 'pope', 'case'}",0,1,developing,1
britain rally support new un resolution,"{'support', 'rally', 'britain', 'new', 'resolution', 'un'}",1,0,developed,2
deadly fire us rock club whos fault,"{'club', 'rock', 'fault', 'fire', 'deadly', 'whos', 'us'}",1,0,developed,0
downer expects un back new iraq edict,"{'downer', 'back', 'new', 'edict', 'iraq', 'expects', 'un'}",0,1,developing,1
downer pushes urgent us talks north korea,"{'north', 'korea', 'downer', 'pushes', 'talks', 'urgent', 'us'}",1,0,developed,2
end protest face axe zimbabwe players told,"{'protest', 'players', 'axe', 'told', 'end', 'face', 'zimbabwe'}",0,1,developing,0
england punishes disappointing pakistan,"{'disappointing', 'england', 'pakistan', 'punishes'}",0,1,developing,0
flower may play australia report,"{'play', 'australia', 'flower', 'may', 'report'}",1,0,developed,2
forensic teams struggle identify us club fire,"{'identify', 'club', 'fire', 'struggle', 'us', 'forensic', 'teams'}",1,0,developed,0
natasha spat wont destroy us dems,"{'natasha', 'dems', 'spat', 'wont', 'destroy', 'us'}",1,0,developed,2
odriscoll captures record ireland downs italy,"{'captures', 'record', 'downs', 'odriscoll', 'ireland', 'italy'}",1,0,developed,1
african weapons inspectors iraq,"{'iraq', 'inspectors', 'african', 'weapons'}",0,1,developing,0
tight security greet cricketers zimbabwe,"{'greet', 'cricketers', 'tight', 'security', 'zimbabwe'}",0,1,developing,2
turkey signals go ahead us troops,"{'turkey', 'go', 'ahead', 'us', 'signals', 'troops'}",1,1,developed/developing,1
un vote iraq soon march 7 powell,"{'soon', 'powell', '7', 'iraq', 'vote', 'un', 'march'}",0,1,developing,1
us spain draft second un resolution,"{'spain', 'resolution', 'second', 'us', 'un', 'draft'}",1,0,developed,1
us put new resolution un,"{'new', 'resolution', 'us', 'un', 'put'}",1,0,developed,1
weapons experts denounce us intelligence iraq,"{'intelligence', 'experts', 'iraq', 'us', 'weapons', 'denounce'}",1,1,developed/developing,0
yemen chopper crash kills eight troops,"{'kills', 'chopper', 'yemen', 'crash', 'troops', 'eight'}",0,1,developing,0
94 dead china earthquake,"{'dead', '94', 'earthquake', 'china'}",1,0,developed,0
britain concerned reports iraqi missiles,"{'iraqi', 'britain', 'reports', 'missiles', 'concerned'}",1,0,developed,1
deployment troops iraq cost much opp,"{'deployment', 'cost', 'iraq', 'much', 'opp', 'troops'}",0,1,developing,1
downer says un must help post war iraq,"{'downer', 'post', 'must', 'says', 'iraq', 'war', 'un', 'help'}",0,1,developing,0
earthquake death toll rises 242 china,"{'242', 'toll', 'earthquake', 'china', 'rises', 'death'}",1,0,developed,0
earthquake kills 158 china,"{'kills', 'china', '158', 'earthquake'}",1,0,developed,0
earthquake rocks china 50 dead,"{'earthquake', '50', 'china', 'dead', 'rocks'}",1,0,developed,0
earthquake shakes north west china,"{'north', 'earthquake', 'china', 'shakes', 'west'}",1,0,developed,1
ecstasy abuse singapore drops sharply,"{'singapore', 'ecstasy', 'sharply', 'abuse', 'drops'}",1,0,developed,1
france continues opposition new resolution,"{'opposition', 'continues', 'new', 'resolution', 'france'}",1,0,developed,1
france remains opposed new un resolution,"{'remains', 'new', 'opposed', 'resolution', 'france', 'un'}",1,0,developed,1
france sinks scotland,"{'scotland', 'france', 'sinks'}",1,0,developed,1
inspectors iran find uranium enriching,"{'find', 'uranium', 'inspectors', 'iran', 'enriching'}",0,1,developing,1
iraq commitment impact health budget says,"{'budget', 'commitment', 'says', 'iraq', 'health', 'impact'}",0,1,developing,2
methanex aust considers worker housing,"{'methanex', 'aust', 'housing', 'worker', 'considers'}",1,0,developed,1
non aligned leaders say war iraq,"{'non', 'iraq', 'leaders', 'war', 'aligned', 'say'}",0,1,developing,0
powell begins talks china,"{'powell', 'talks', 'begins', 'china'}",1,0,developed,1
powell says iraq must disarmed one way,"{'powell', 'one', 'must', 'says', 'iraq', 'way', 'disarmed'}",0,1,developing,1
security tight ahead australia zimbabwe match,"{'ahead', 'australia', 'tight', 'security', 'match', 'zimbabwe'}",1,1,developed/developing,2
seven killed avalanches tajikistan,"{'seven', 'avalanches', 'killed', 'tajikistan'}",0,1,developing,0
sudan allows uganda troops pursue rebels,"{'sudan', 'allows', 'pursue', 'uganda', 'rebels', 'troops'}",0,1,developing,0
sudanese muslim teacher deported fiji,"{'deported', 'teacher', 'muslim', 'sudanese', 'fiji'}",0,1,developing,1
humble british inn threat,"{'humble', 'inn', 'british', 'threat'}",1,0,developed,0
vaughan doubtful india game,"{'vaughan', 'india', 'doubtful', 'game'}",0,1,developing,0
hit rock bottom pakistan coach,"{'bottom', 'rock', 'pakistan', 'coach', 'hit'}",0,1,developing,1
wheat board confident future iraq trade,"{'board', 'wheat', 'future', 'iraq', 'confident', 'trade'}",0,1,developing,2
zimbabwe hoping cause upset,"{'cause', 'hoping', 'upset', 'zimbabwe'}",0,1,developing,0
air nz staff walk job,"{'job', 'staff', 'air', 'walk', 'nz'}",1,0,developed,1
aust help us uk lobby security council downer,"{'aust', 'downer', 'lobby', 'us', 'security', 'uk', 'council', 'help'}",1,0,developed,2
belgium still hoping spa f1 race year,"{'belgium', 'year', 'spa', 'hoping', 'f1', 'race', 'still'}",1,0,developed,2
bevan likely move namibia,"{'bevan', 'likely', 'move', 'namibia'}",0,1,developing,1
blast rocks university cafeteria china,"{'university', 'china', 'blast', 'rocks', 'cafeteria'}",1,0,developed,1
china dismisses latest draft resolution iraq,"{'draft', 'china', 'resolution', 'iraq', 'dismisses', 'latest'}",1,1,developed/developing,1
death toll china quake rises,"{'toll', 'china', 'rises', 'quake', 'death'}",1,0,developed,0
former ambassador urges us speak north korea,"{'north', 'korea', 'urges', 'former', 'speak', 'us', 'ambassador'}",1,0,developed,1
four us soldiers killed helicopter crash,"{'killed', 'us', 'helicopter', 'crash', 'soldiers', 'four'}",1,0,developed,0
howard praises new resolution iraq,"{'howard', 'new', 'resolution', 'iraq', 'praises'}",0,1,developing,2
bangladesh play tests kenya coach,"{'play', 'bangladesh', 'coach', 'kenya', 'tests'}",0,1,developing,2
iraq invites delegation confirm un cooperation,"{'iraq', 'cooperation', 'invites', 'un', 'confirm', 'delegation'}",0,1,developing,1
150 face trail vietnam,"{'face', '150', 'trail', 'vietnam'}",0,1,developing,1
mugabe criticises us british big brothers,"{'brothers', 'british', 'us', 'big', 'criticises', 'mugabe'}",1,0,developed,0
n korea fires missile sea japan,"{'korea', 'japan', 'sea', 'missile', 'fires', 'n'}",1,0,developed,1
nz says peace monitors leave png,"{'leave', 'peace', 'says', 'png', 'monitors', 'nz'}",1,0,developed,2
pm backs new resolution iraq,"{'pm', 'new', 'resolution', 'backs', 'iraq'}",0,1,developing,1
security council ends private debate iraq,"{'iraq', 'security', 'private', 'debate', 'ends', 'council'}",0,1,developing,2
un outlive iraq crisis diplomat,"{'outlive', 'iraq', 'crisis', 'diplomat', 'un'}",0,1,developing,0
us carrier arrives gulf,"{'arrives', 'carrier', 'gulf', 'us'}",1,0,developed,1
us saddam time,"{'time', 'saddam', 'us'}",1,0,developed,1
us vice president see rail work first hand,"{'vice', 'first', 'hand', 'work', 'rail', 'president', 'us', 'see'}",1,0,developed,2
western countries remain divided war iraq,"{'western', 'divided', 'countries', 'remain', 'iraq', 'war'}",0,1,developing,0
youhana lifts pakistan 9 253,"{'pakistan', 'lifts', 'youhana', '9', '253'}",0,1,developing,1
akram claims 500 pakistan downs dutch,"{'claims', 'pakistan', '500', 'akram', 'dutch', 'downs'}",0,1,developing,1
aust airlines looks asian market,"{'aust', 'looks', 'asian', 'market', 'airlines'}",1,0,developed,1
australia marks 30 years diplomacy vietnam,"{'30', 'australia', 'marks', 'diplomacy', 'years', 'vietnam'}",1,1,developed/developing,1
australia targeting england win india,"{'australia', 'india', 'targeting', 'win', 'england'}",1,1,developed/developing,2
brazil star admits world cup fluke,"{'world', 'fluke', 'cup', 'brazil', 'star', 'admits'}",0,1,developing,2
butler predicts imminent action iraq,"{'butler', 'imminent', 'iraq', 'action', 'predicts'}",0,1,developing,1
china denies providing north korea missile,"{'north', 'korea', 'china', 'missile', 'providing', 'denies'}",1,0,developed,0
china quake aftershocks take death toll 266,"{'take', '266', 'toll', 'aftershocks', 'china', 'quake', 'death'}",1,0,developed,0
conman foster plans return uk soon court hears,"{'court', 'soon', 'return', 'conman', 'hears', 'plans', 'uk', 'foster'}",1,0,developed,1
consultants question value free trade us,"{'value', 'free', 'consultants', 'us', 'trade', 'question'}",1,0,developed,2
downer calls china mediate north korea crisis,"{'mediate', 'north', 'korea', 'downer', 'china', 'crisis', 'calls'}",1,0,developed,0
dutch captain writes england india pakistan,"{'pakistan', 'india', 'captain', 'dutch', 'england', 'writes'}",0,1,developing,1
former champion chela beaten mexico,"{'beaten', 'former', 'chela', 'champion', 'mexico'}",0,1,developing,2
fuel prices almost doubled zimbabwe,"{'prices', 'fuel', 'doubled', 'almost', 'zimbabwe'}",0,1,developing,1
gulf watcher warns aust ships little defence,"{'aust', 'watcher', 'warns', 'little', 'ships', 'defence', 'gulf'}",1,0,developed,1
gunman kills four wounds one us,"{'wounds', 'one', 'kills', 'gunman', 'us', 'four'}",1,0,developed,0
holy films craze italy,"{'holy', 'italy', 'craze', 'films'}",1,0,developed,1
kefu confirms japan move,"{'move', 'confirms', 'kefu', 'japan'}",1,0,developed,1
kuerten saves three match points mexico win,"{'kuerten', 'saves', 'points', 'win', 'three', 'match', 'mexico'}",0,1,developing,2
mahathir suggests muslim oil strike stop iraq,"{'strike', 'mahathir', 'muslim', 'stop', 'iraq', 'oil', 'suggests'}",0,1,developing,0
marsh backs australia cup,"{'backs', 'australia', 'cup', 'marsh'}",1,0,developed,1
montgomery compete us championships,"{'montgomery', 'championships', 'compete', 'us'}",1,0,developed,1
oil pushes higher us craves heating oil,"{'pushes', 'us', 'heating', 'higher', 'oil', 'craves'}",1,0,developed,1
riot police clash squatters argentina,"{'clash', 'argentina', 'squatters', 'riot', 'police'}",0,1,developing,0
saudis agree host us planes iraq war,"{'host', 'iraq', 'war', 'us', 'agree', 'saudis', 'planes'}",1,1,developed/developing,0
uk media worlds savage publicist,"{'media', 'worlds', 'savage', 'uk', 'publicist'}",1,0,developed,0
uk parliament due debate iraq action,"{'iraq', 'due', 'action', 'uk', 'debate', 'parliament'}",1,1,developed/developing,1
un missile edict iraq makes difference us,"{'makes', 'missile', 'edict', 'iraq', 'difference', 'un', 'us'}",1,1,developed/developing,0
us acknowledges pakistani cooperation al qaeda,"{'qaeda', 'pakistani', 'al', 'acknowledges', 'cooperation', 'us'}",1,0,developed,1
us consumer confidence lowest 10 years,"{'confidence', '10', 'consumer', 'us', 'lowest', 'years'}",1,0,developed,2
us resumes food aid north korea,"{'north', 'korea', 'aid', 'resumes', 'food', 'us'}",1,0,developed,1
us uk bomb missile site iraq,"{'site', 'bomb', 'missile', 'iraq', 'us', 'uk'}",1,1,developed/developing,0
actors continue crusade iraq action,"{'actors', 'continue', 'iraq', 'action', 'crusade'}",0,1,developing,1
air patrols hit two communications sites iraq,"{'two', 'air', 'hit', 'iraq', 'patrols', 'communications', 'sites'}",0,1,developing,1
aust cannot afford missile defence crean,"{'aust', 'crean', 'not', 'missile', 'afford', 'can', 'defence'}",1,0,developed,0
aust govt embarrassed guantanamo bay terry hicks,"{'terry', 'aust', 'embarrassed', 'govt', 'guantanamo', 'bay', 'hicks'}",1,0,developed,0
aust post works resolve mail woes,"{'aust', 'woes', 'post', 'works', 'mail', 'resolve'}",1,0,developed,0
aust transport infrastructure suffering report,"{'aust', 'suffering', 'transport', 'report', 'infrastructure'}",1,0,developed,0
black caps crush bangladesh,"{'crush', 'caps', 'black', 'bangladesh'}",0,1,developing,1
black hawk crashes colombia 23 dead,"{'23', 'black', 'dead', 'colombia', 'crashes', 'hawk'}",0,1,developing,0
blair facing party revolt iraq stance,"{'stance', 'revolt', 'iraq', 'blair', 'facing', 'party'}",0,1,developing,2
china russia unite peaceful iraq solution,"{'unite', 'peaceful', 'china', 'russia', 'iraq', 'solution'}",1,1,developed/developing,2
greene gone rest us best seek world berths,"{'world', 'best', 'rest', 'seek', 'us', 'greene', 'gone', 'berths'}",1,0,developed,2
japan warns nuclear reaction,"{'reaction', 'nuclear', 'japan', 'warns'}",1,0,developed,1
missiles missile shield downer tells china,"{'downer', 'missile', 'china', 'missiles', 'tells', 'shield'}",1,0,developed,0
pakistan says confident ganguly,"{'confident', 'pakistan', 'says', 'ganguly'}",0,1,developing,2
separatists deny bombing philippines powerlines,"{'bombing', 'powerlines', 'separatists', 'deny', 'philippines'}",0,1,developing,0
son star wars costly phantom menace nz,"{'wars', 'phantom', 'costly', 'son', 'star', 'menace', 'nz'}",1,0,developed,0
tonga bans newspaper subversive,"{'newspaper', 'bans', 'subversive', 'tonga'}",0,1,developing,0
turkey closes border iraq evacuates embassy,"{'turkey', 'evacuates', 'embassy', 'closes', 'border', 'iraq'}",0,1,developing,1
turkey evacuates embassy baghdad,"{'turkey', 'embassy', 'baghdad', 'evacuates'}",0,1,developing,1
turkey ready stamp troops deal us,"{'ready', 'turkey', 'us', 'stamp', 'deal', 'troops'}",1,1,developed/developing,2
uk govt divided iraq war position,"{'divided', 'govt', 'iraq', 'war', 'uk', 'position'}",1,1,developed/developing,0
us farmers eye australia iraq wheat contract,"{'wheat', 'australia', 'iraq', 'farmers', 'contract', 'us', 'eye'}",1,1,developed/developing,1
us desire govern iraq special envoy,"{'special', 'govern', 'iraq', 'desire', 'us', 'envoy'}",1,1,developed/developing,2
us moves ease iraq opposition fears,"{'opposition', 'ease', 'moves', 'iraq', 'fears', 'us'}",1,1,developed/developing,1
us nursing home patient questioned fatal fire,"{'nursing', 'patient', 'questioned', 'fire', 'home', 'us', 'fatal'}",1,0,developed,0
yemen arrests armed man us run hospital,"{'hospital', 'arrests', 'armed', 'us', 'run', 'man', 'yemen'}",1,1,developed/developing,0
aussie bowlers blew us away namibian coach,"{'away', 'bowlers', 'coach', 'blew', 'us', 'namibian', 'aussie'}",1,0,developed,1
aust closer ever war howard,"{'aust', 'closer', 'howard', 'ever', 'war'}",1,0,developed,0
blair tells iraq time games,"{'time', 'iraq', 'blair', 'tells', 'games'}",0,1,developing,1
coalition planes bomb iraq fly zones,"{'coalition', 'bomb', 'zones', 'iraq', 'fly', 'planes'}",0,1,developing,0
councillors protest iraq motion,"{'iraq', 'protest', 'councillors', 'motion'}",0,1,developing,0
dali graphics drenched uk gallery flooding,"{'flooding', 'graphics', 'gallery', 'uk', 'dali', 'drenched'}",1,0,developed,1
disaster strikes team nz,"{'team', 'nz', 'disaster', 'strikes'}",1,0,developed,0
guards gunned us mission pakistan,"{'pakistan', 'mission', 'gunned', 'us', 'guards'}",1,1,developed/developing,1
iraq agrees principle destroy missiles,"{'principle', 'iraq', 'missiles', 'destroy', 'agrees'}",0,1,developing,0
iraq says missile destruction could start tomorrow,"{'destruction', 'start', 'tomorrow', 'missile', 'says', 'iraq', 'could'}",0,1,developing,0
